   Step   Time    Walltime(s) Profile
      0   0.0000     0.0008   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  35714   2.5000    27.2394   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▃▃▄▅▆▇█████▇▆▅▄▃▃▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  71428   5.0000    54.4738   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▆▆▇▇█████▇▇▆▆▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁▁
 107142   7.4999    81.7091   ▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▅▆▆▇▇███████▇▇▆▆▅▅▄▄▃▃▂▂▂▂▁▁▁▁▁▁▁
 142856   9.9999   108.9432   ▁▁▂▂▂▂▂▂▃▃▄▄▄▅▅▆▆▇▇▇███████▇▇▇▆▆▅▅▄▄▄▃▃▂▂▂▂▂▂▁▁▁
 178570  12.4999   136.1767   ▂▂▂▂▂▂▃▃▃▄▄▅▅▅▆▆▇▇▇█████████▇▇▇▆▆▅▅▅▄▄▃▃▃▃▂▂▂▂▂▂
 214284  14.9999   163.4159   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇█████████▇▇▇▇▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂▂
 249998  17.4999   190.6669   ▃▃▃▃▃▄▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▄▃▃▃▃▃▃
 285712  19.9998   217.9197   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▇▇▇▇███████████▇▇▇▇▆▆▆▅▅▅▄▄▄▄▄▃▃▃▃
 321426  22.4998   245.1619   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇███████████▇▇▇▇▇▆▆▆▅▅▅▅▄▄▄▄▄▄▄
 357140  24.9998   272.4158   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇█████████████▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄▄
 392854  27.4998   299.6499   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇█████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅▅
 428568  29.9998   326.8853   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇█████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅▅
 464282  32.4997   354.1211   ▆▆▆▆▆▆▆▆▆▆▇▇▇▇▇▇███████████████▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆▆▆
 499996  34.9997   381.3556   ▆▆▆▆▆▆▆▆▇▇▇▇▇▇▇▇████████████████▇▇▇▇▇▇▇▆▆▆▆▆▆▆▆▆
 535710  37.4997   408.5915   ▆▆▆▆▆▆▇▇▇▇▇▇▇▇▇█████████████████▇▇▇▇▇▇▇▇▇▆▆▆▆▆▆▆
 571424  39.9997   435.8243   ▆▆▆▇▇▇▇▇▇▇▇▇▇▇███████████████████▇▇▇▇▇▇▇▇▇▇▇▆▆▆▆
 607138  42.4997   463.0582   ▇▇▇▇▇▇▇▇▇▇▇▇▇█████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇▇
 642852  44.9996   490.3017   ▇▇▇▇▇▇▇▇▇▇▇▇███████████████████████▇▇▇▇▇▇▇▇▇▇▇▇▇
 678566  47.4996   517.5389   ▇▇▇▇▇▇▇▇▇▇▇█████████████████████████▇▇▇▇▇▇▇▇▇▇▇▇
 714280  49.9996   544.7715   ▇▇▇▇▇▇▇▇▇▇███████████████████████████▇▇▇▇▇▇▇▇▇▇▇
 749994  52.4996   572.0026   ▇▇▇▇▇▇▇▇███████████████████████████████▇▇▇▇▇▇▇▇▇
 785708  54.9996   599.2366   ▇▇▇▇▇▇███████████████████████████████████▇▇▇▇▇▇▇
 821422  57.4995   626.4709   ▇▇▇█████████████████████████████████████████▇▇▇▇
 857136  59.9995   653.7048   ████████████████████████████████████████████████
 892850  62.4995   680.9408   ████████████████████████████████████████████████
 928564  64.9995   708.1751   ████████████████████████████████████████████████
 964278  67.4995   735.4099   ████████████████████████████████████████████████
 999992  69.9994   762.6644   ████████████████████████████████████████████████
1035706  72.4994   789.9172   ████████████████████████████████████████████████
1071420  74.9994   817.1707   ████████████████████████████████████████████████
1107134  77.4994   844.4107   ████████████████████████████████████████████████
1142848  79.9994   871.6465   ████████████████████████████████████████████████
1178562  82.4993   898.8817   ████████████████████████████████████████████████
1214276  84.9993   926.1175   ████████████████████████████████████████████████
1249990  87.4993   953.3520   ████████████████████████████████████████████████
1285704  89.9993   980.5850   ████████████████████████████████████████████████
1321418  92.4993   1007.8192   ████████████████████████████████████████████████
1357132  94.9992   1035.0527   ████████████████████████████████████████████████
1392846  97.4992   1062.3000   ████████████████████████████████████████████████
1428560  99.9992   1089.5464   ████████████████████████████████████████████████
   Step   Time    Walltime(s) Profile
      0   0.0000     0.0008   ▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁█▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  35714   2.5000    13.4571   ▁▁▁▁▁▁▁▁▁▁▁▁▁▂▂▃▃▄▅▆▇█████▇▆▅▄▃▃▂▂▁▁▁▁▁▁▁▁▁▁▁▁▁▁
  71428   5.0000    26.9124   ▁▁▁▁▁▁▁▁▁▂▂▂▃▃▄▄▅▆▆▇▇█████▇▇▆▆▅▄▄▃▃▂▂▂▁▁▁▁▁▁▁▁▁▁
 107142   7.4999    40.3679   ▁▁▁▁▁▁▂▂▂▂▃▃▄▄▅▅▆▆▇▇███████▇▇▆▆▅▅▄▄▃▃▂▂▂▂▁▁▁▁▁▁▁
 142856   9.9999    53.8212   ▁▁▂▂▂▂▂▂▃▃▄▄▄▅▅▆▆▇▇▇███████▇▇▇▆▆▅▅▄▄▄▃▃▂▂▂▂▂▂▁▁▁
 178570  12.4999    67.2730   ▂▂▂▂▂▂▃▃▃▄▄▅▅▅▆▆▇▇▇█████████▇▇▇▆▆▅▅▅▄▄▃▃▃▃▂▂▂▂▂▂
 214284  14.9999    80.7249   ▂▂▂▃▃▃▃▄▄▄▅▅▅▆▆▆▇▇▇█████████▇▇▇▇▆▆▅▅▅▄▄▄▃▃▃▃▂▂▂▂
 249998  17.4999    94.1759   ▃▃▃▃▃▄▄▄▄▅▅▅▆▆▆▇▇▇▇██████████▇▇▇▆▆▆▅▅▅▄▄▄▄▃▃▃▃▃▃
 285712  19.9998   107.6265   ▃▃▃▄▄▄▄▄▅▅▅▆▆▆▇▇▇▇███████████▇▇▇▇▆▆▆▅▅▅▄▄▄▄▄▃▃▃▃
 321426  22.4998   121.0769   ▄▄▄▄▄▄▅▅▅▅▆▆▆▆▇▇▇▇███████████▇▇▇▇▇▆▆▆▅▅▅▅▄▄▄▄▄▄▄
 357140  24.9998   134.5274   ▄▄▄▅▅▅▅▅▅▆▆▆▆▇▇▇▇█████████████▇▇▇▇▆▆▆▆▅▅▅▅▅▅▄▄▄▄
 392854  27.4998   147.9779   ▅▅▅▅▅▅▅▆▆▆▆▆▇▇▇▇▇█████████████▇▇▇▇▇▆▆▆▆▆▅▅▅▅▅▅▅▅
 428568  29.9998   161.4278   ▅▅▅▅▅▆▆▆▆▆▆▇▇▇▇▇▇█████████████▇▇▇▇▇▇▆▆▆▆▆▆▅▅▅▅▅▅
